name,type,cat,Russia's share of China's export,China's share of Russia's import
2020,Wood and articles,Import,18.37170927100123,-45.257267808419826
2021,Wood and articles,Import,16.724960577088467,-34.504471117123025
2022,Wood and articles,Import,16.214082882537276,-37.4045984863017
2023,Wood and articles,Import,17.815500909823008,-49.81167999779944
2024,Wood and articles,Import,17.410874660688798,-52.062182046990216
2009,Copper and articles thereof,Import,0.8614845090108214,-7.146649801482731
2010,Copper and articles thereof,Import,0.9003806492050499,-8.44718758201853
2011,Copper and articles thereof,Import,0.4431898343031073,-4.809493166629894
2012,Copper and articles thereof,Import,0.7131395947869127,-6.714742322063483
2013,Copper and articles thereof,Import,0.3591625771884662,-3.6046360801178836
2014,Copper and articles thereof,Import,0.3684113130123018,-3.550960179599945
2015,Copper and articles thereof,Import,1.6873579108050607,-15.543387962721669
2016,Copper and articles thereof,Import,1.3458080978957712,-13.502772431214485
2017,Copper and articles thereof,Import,1.0377670752826738,-9.078685194454065
2018,Copper and articles thereof,Import,3.483760005475319,-30.897759858382173
2019,Copper and articles thereof,Import,4.066117425088081,-31.633243956739225
2020,Copper and articles thereof,Import,5.721862805570342,-49.56548596132966
2021,Copper and articles thereof,Import,5.9219409949241335,-65.42392890241669
2022,Copper and articles thereof,Import,4.285543514795327,-35.69355788179251
2023,Copper and articles thereof,Import,5.111200488795873,-53.57818342790133
2024,Copper and articles thereof,Import,4.122679021561503,-57.21537556056055
2009,Raw precious metals,Import,1.5222434817055976,-90.02116809472702
2010,Raw precious metals,Import,1.1100590416420948,-56.23969753657939
2011,Raw precious metals,Import,2.2224312640725734,-83.13320259990357
2012,Raw precious metals,Import,1.850717611682792,-63.65173168679236
2013,Raw precious metals,Import,1.4130036303801177,-58.13993301964467
2014,Raw precious metals,Import,0.8950211823476929,-36.51684661333155
2015,Raw precious metals,Import,0.9532830765193349,-46.8110098339723
2016,Raw precious metals,Import,0.9466268635696629,-43.76616950730553
2017,Raw precious metals,Import,1.0016315904365847,-40.90190795863213
2018,Raw precious metals,Import,1.1349660077024766,-41.99924146780608
2019,Raw precious metals,Import,1.353802774657678,-53.39644187744691
2020,Raw precious metals,Import,1.8833149717569129,-81.42671509028152
2021,Raw precious metals,Import,1.562947165436486,-57.38260557640758
2022,Raw precious metals,Import,1.619960452365838,-66.07135013795734
2023,Raw precious metals,Import,1.8518814630078566,-82.10014940022806
2024,Raw precious metals,Import,2.1737582872209185,-92.93869771401604
