dir,cat,name,value
Import,Other,2012,8.455844
Import,Other,2013,7.434769
Import,Other,2014,7.177577
Import,Other,2015,8.266276
Import,Other,2016,8.152997
Import,Other,2017,7.84398
Import,Other,2018,8.712645
Import,Other,2019,10.18538
Import,Other,2020,13.07387
Import,Other,2021,12.722948
Import,Other,2022,17.2136
Import,Other,2023,20.811151
Import,Other,2024,19.034077
Import,Other,2025,9.422658422
